question,ideal_answer,context_score,context_reasoning,grounding_score,grounding_reasoning,answer_score,answer_reasoning
What are the stats for the Immortal?,"Production Cost: 50
 Maintenance Cost: 2 per turn
 Movement: 2 points
 Melee Strength: 36
 Ranged Strength: 25
 Range: 2
 Line of Sight: 2",3,"The first document in the provided information block contains the complete stats for the Immortal unit, including Production Cost (50), Maintenance Cost (2 Per Turn), Movement Points (2), Melee Strength (36), Range (2), Ranged Strength (23), Line of Sight (2), and a description of its abilities. This is sufficient to provide a full and complete answer to the query.",3,"All stats listed in the response (Production Cost: 50, Maintenance Cost: 2 per turn, Movement Points: 2, Melee Strength: 36, Ranged Strength: 23, Range: 2, Line of Sight: 2) are directly supported by the Immortal entry in the documents. The description (Persian unique melee unit that replaces the Swordsman, melee class with ranged attack, Range 2, strong defense strength) matches the document text. The version 7.5 reference is also confirmed by the bbg_version field. No ungrounded entities or relations are asserted.",2,"The given response matches the ideal answer on most stats: Production Cost (50), Maintenance Cost (2 per turn), Movement (2), Melee Strength (36), Range (2), and Line of Sight (2). However, the Ranged Strength differs: the ideal answer states 25, while the given response states 23. This single discrepancy prevents a full score of 3, but since most values are correct, it approximates the ideal response."
Which wonder gives a Great Prophet?,Stonehenge,3,"The documents contain a clear and complete answer to the query. The first document explicitly states that Stonehenge is a world wonder that 'Grants a free Great Prophet,' which directly and fully answers the question about which wonder gives a Great Prophet.",3,"The response correctly identifies Stonehenge as the wonder that grants a free Great Prophet. All key details in the response are directly supported by the documents: +2 Faith, grants a free Great Prophet, Great Prophets may found a Religion on Stonehenge instead of a Holy Site, must be adjacent to Stone and on flat land, Production Cost = 90, and unlocked by Astrology Technology. The response also correctly identifies it as an Ancient Era wonder. All entities and relations asserted are present in the documents.",3,"The given response correctly identifies Stonehenge as the wonder that grants a free Great Prophet, which matches the ideal answer exactly. The additional details provided are accurate and relevant, but the core answer is correct and complete."
Which religious unit's primary responsibility is to heal other religious units?,Guru,3,"The documents clearly identify the Guru as the religious unit whose primary responsibility is to heal other religious units. The Guru's description states it 'May use a charge to heal itself and all adjacent friendly religious units' and explicitly 'May not initiate theological combat with units of other Religions (but can defend),' indicating healing is its primary function rather than spreading religion or combat.",3,"The response accurately describes the Guru unit with stats that match the documents exactly: Cost 120, 4 Movement Points, 90 Religious Strength, 3 Heal Charges, and the abilities to heal itself and adjacent friendly religious units, and not being able to initiate theological combat. The version 7.5 claim is supported by the bbg_version list. All entities and relations are directly grounded in the documents.",3,"The given response correctly identifies the Guru as the religious unit whose primary responsibility is to heal other religious units, which matches the ideal answer exactly. The additional details provided are supplementary information that doesn't contradict the ideal answer."
Which governor has Black Marketeer?,Magnus,3,"The documents contain explicit information about the governor Magnus having the 'Black Marketeer' promotion. Both the base_game and BBG versions of Magnus's governor entry list 'Black Marketeer' as one of his promotions, providing a complete and direct answer to the query.",3,"The response correctly identifies Magnus as the governor with the Black Marketeer promotion. The documents confirm this for both base_game (Black Marketeer: Strategic resource costs for units are discounted 80%) and BBG versions 7.1-7.5 (Black Marketeer: +2 Production for Workshop, +4 Production for Factory, and +7 Production and +4 Power provided by the city's Coal, Oil, or Nuclear Power Plant). The response also correctly identifies Magnus as 'The Steward,' though this title is not explicitly in the documents, the core entity (Magnus), relation (Magnus has Black Marketeer), and effects for both versions are all fully supported by the documents.",3,"The given response correctly identifies Magnus as the owner of the Black Marketeer promotion, which matches the ideal answer. The additional details provided are supplementary information that doesn't contradict the ideal answer."
What is the boost for the Wheel technology?,Mine a resource,3,The first document directly states the boost for the Wheel technology: 'Mine a resource.' This fully answers the query.,3,The response correctly states that the boost for the Wheel technology is 'Mine a resource' and that it requires Mining as a prerequisite. Both of these facts are directly supported by the first document entry: 'tech_tree Wheel: To Boost: Mine a resource. Requires: Mining'. The version 7.5 reference is also supported by the bbg_version list in the documents.,3,"The given response explicitly states 'Mine a resource' as the boost for the Wheel technology, which semantically matches the ideal answer exactly. The additional context provided (version, prerequisite) does not detract from the accuracy of the core answer."
Name the Mayan leaders.,Te'K'inich II and Lady Six Sky,3,"The documents explicitly name two Mayan leaders: 'Te' K'inich II' and 'Lady Six Sky', both listed under the Maya civilization in the leaders section. The query asks to name the Mayan leaders, and the documents provide exactly that information, making a complete answer possible.",3,"The response correctly identifies both Mayan leaders (Lady Six Sky and Maya Te' K'inich II) as present in version 7.5, and accurately describes their unique abilities based on the documents. Lady Six Sky's +5% yields within 6 tiles, -10% for distant cities, and +3 Combat Strength within 6 tiles are all confirmed. Maya Te' K'inich II's +4 Combat Strength beyond 6 tiles, -2 within 6 tiles, healing 5 HP and gaining 2 XP upon Eureka are all confirmed. The Observatory district replacing Campus and the unique ancient-era ranged unit replacing the Archer are also confirmed in the documents. All entities and relations asserted in the response are grounded in the provided documents.",3,"The given response correctly identifies both leaders of the Maya civilization: Te'K'inich II (referred to as 'Maya Te' K'inich II') and Lady Six Sky, which matches the ideal answer. The response provides additional detail about their abilities, but the core answer accurately names both leaders as required."
Name all leaders for China.,"Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Wu Zetian, Yongle",3,"The documents contain comprehensive information about all leaders for China. The documents clearly identify and describe the following leaders: Kublai Khan (China), Wu Zetian, Yongle, Qin (Unifier), and Qin (Mandate of Heaven). Each leader's unique abilities and traits are described across multiple game versions. This is sufficient to fully answer the query about naming all leaders for China.",2,"The response correctly identifies all five leaders for China that appear in the documents: Qin Shi Huang (Mandate of Heaven), Qin Shi Huang (Unifier), Wu Zetian, Kublai Khan (China), and Yongle. These leaders are all named in the documents. However, there are some inaccuracies in the descriptions. For Qin (Mandate of Heaven), the response says 'Completing a wonder grants a random Eureka and Inspiration' which is supported, and 'Builders receiving an extra charge and the ability to spend Builder charges to complete Ancient and Classical Wonders faster' which is broadly supported. For Qin (Unifier), the response mentions 'Provides bonuses to Encampment buildings and Great Writers' which is supported, and 'earns Eurekas/Inspirations when recruiting Great Generals or Great Writers' which is supported. For Wu Zetian, the response says 'gains a free spy after discovering Civil Service' which is supported in BBG versions, and 'offensive spy missions also steal Science, Culture, and Faith' which is supported. For Kublai Khan, the description is largely supported. For Yongle, the response says 'Cities with 10+ Population generate bonus Science, Culture, and Gold per citizen' which is supported, and 'Cities also gain unique projects to convert Production into Food, Faith, or Gold' which is supported. The response does not mention that Qin (Mandate of Heaven) also gives +1 Food per wonder built in each city, and some other details differ slightly (e.g., the response says 'complete Ancient and Classical Wonders faster' rather than specifying '15% of the Wonder Production cost'). The response also incorrectly characterizes Qin (Mandate of Heaven) as focusing on wonders without specifying it's actually Qin Shi Huang rather than just 'Qin'. Minor inaccuracies in details but the overall list of leaders and their core abilities are largely grounded in the documents.",3,"The given response lists all five leaders for China: Kublai Khan, Qin Shi Huang (Mandate of Heaven), Qin Shi Huang (Unifier), Wu Zetian, and Yongle. These exactly match the five leaders in the ideal answer. The given response includes additional descriptive details about each leader's abilities, but the core content (the list of leaders) is complete and accurate."
Which wonder is unlocked by Mathematics in 7.4?,Petra,3,"The documents contain a direct and complete answer to the query. The document about 'world_wonder Classical Era Petra' explicitly states it is 'Unlocked by Mathematics Technology' and is listed under bbg_version 7.4, providing a full and complete answer.",3,"The documents explicitly state: 'world_wonder Classical Era Petra: +2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains). Must be built on Desert or Desert Floodplains without Hills. Production Cost = 200 Unlocked by Mathematics Technology' and this entry is valid for bbg_version 7.4. The response correctly identifies Petra as the wonder unlocked by Mathematics, and all stated details (era, production cost, effects, placement requirement, unlock condition) match the document exactly.",3,"The given response correctly identifies 'Petra' as the wonder unlocked by Mathematics, which matches the ideal answer exactly. The additional details provided are supplementary information that doesn't contradict the ideal answer."
What tech does Printing require in 7.4?,Machinery,3,"The first document directly states that Printing requires 'Machinery' in the tech tree, and this entry applies to version 7.4 (among others listed). This fully answers the query.",3,"The documents explicitly state that Printing requires Machinery and its boost condition is to build 2 Universities. This matches the response exactly. The document also covers version 7.4 in its bbg_version list, so the response is fully grounded.",3,"The given response correctly identifies 'Machinery' as the prerequisite technology for Printing in version 7.4, which matches the ideal answer. The additional information about the boost condition is extra context but does not contradict the ideal answer."
Name the unique unit for Cree.,Okihtcitaw,3,The documents contain explicit information about the Cree unique unit. The first information block mentions 'Cree unique Ancient era unit that replaces the Scout' and the units block specifically names 'Okihtcitaw' as the Cree unique Ancient era unit that replaces the Scout. This provides a complete and full answer to the query.,3,"The response correctly identifies the Okihtcitaw as the unique unit for the Cree civilization. All details provided in the response—era (Ancient), replaces (Scout), production cost (20), maintenance cost (0 per turn), movement points (3), melee strength (15), line of sight (2), free promotion, and +5 Combat Strength when fighting units with higher base Combat Strength—are directly supported by both the units document and the leaders document for Cree Poundmaker. No ungrounded entities or relations are asserted.",3,"The given response correctly identifies the Okihtcitaw as the unique unit for the Cree civilization, which matches the ideal answer exactly. The additional details provided are supplementary information that doesn't contradict the ideal answer."
