question,ideal_answer,context_score,context_reasoning,grounding_score,grounding_reasoning,answer_score,answer_reasoning
What are the stats for the Immortal?,"Production Cost: 50
 Maintenance Cost: 2 per turn
 Movement: 2 points
 Melee Strength: 36
 Ranged Strength: 25
 Range: 2
 Line of Sight: 2",3,"The documents contain a dedicated entry for the Immortal unit that includes all its stats: Production Cost (50, with 5 additional), Maintenance Cost (2 Per Turn), Movement Points (2), Melee Strength (36), Range (2), Ranged Strength (23), Line of Sight (2), along with a description of the unit. This is sufficient to provide a complete answer to the query about the Immortal's stats.",3,"The response accurately reflects all the key stats provided in the documents for the Immortal unit: Production Cost (50), Maintenance Cost (2 Per Turn), Movement Points (2), Melee Strength (36), Ranged Strength (23), Range (2), Line of Sight (2). The description also correctly identifies it as a Persian unique melee unit that replaces the Swordsman, a melee class unit with a ranged attack (Range 2), and notes its strong defense strength. All information in the response is directly supported by the provided documents.",2,"The given response matches the ideal answer on most stats (Production Cost: 50, Maintenance Cost: 2, Movement: 2, Melee Strength: 36, Range: 2, Line of Sight: 2), but differs on Ranged Strength — the ideal answer states 25, while the given response states 23. This is a factual discrepancy on one stat, so the response approximately but not fully matches the ideal answer."
Which wonder gives a Great Prophet?,Stonehenge,3,"The documents contain a direct and complete answer to the query. The Stonehenge wonder entry explicitly states it 'Grants a free Great Prophet,' which fully answers the question about which wonder gives a Great Prophet.",3,"The response states that Stonehenge grants a free Great Prophet, allows Great Prophets to found a Religion on Stonehenge instead of a Holy Site, requires adjacency to Stone and flat land, is an Ancient Era wonder, has a production cost of 90, and is unlocked by the Astrology technology. All of these details are directly and explicitly supported by the document entry: 'world_wonder Ancient Era Stonehenge: +2 Faith Grants a free Great Prophet. Great Prophets may found a Religion on Stonehenge instead of a Holy Site. Must be adjacent to Stone and on flat land. Production Cost = 90 Unlocked by Astrology Technology'. The response omits the +2 Faith bonus but does not contradict it. All stated facts are fully grounded in the documents.",3,"The given response correctly identifies Stonehenge as the answer. The additional details provided are accurate context about the wonder, but the core answer matches the ideal response exactly."
Which religious unit's primary responsibility is to heal other religious units?,Guru,3,The documents contain a direct answer to the query. The 'Guru' unit entry explicitly states it is a religious unit whose primary responsibility is to heal: 'May use a charge to heal itself and all adjacent friendly religious units. May not initiate theological combat with units of other Religions (but can defend).' This clearly identifies the Guru as the religious unit whose primary responsibility is healing other religious units.,2,"The response correctly identifies the Guru as the primary healing religious unit, supported by the document stating it 'may use a charge to heal itself and all adjacent friendly religious units' with 3 Heal Charges (not 2 as stated in the response - the document shows 3 Heal Charges). The response also correctly notes the Apostle's secondary healing function via the Medic promotion. However, the response contains a minor factual error: it states the Guru has '2 heal charges available' when the document clearly states '3 Heal Charges.' This inaccuracy means the response is not fully supported by the documents, though the overall conclusion about the Guru being the primary healing religious unit is correct.",3,"The given response correctly identifies 'Guru' as the religious unit whose primary responsibility is to heal other religious units, which matches the ideal answer. The additional explanation provided is accurate and supports the answer without contradicting it."
Which governor has Black Marketeer?,Magnus,3,"The documents clearly show that governor Magnus has the 'Black Marketeer' ability. This is explicitly listed in two separate entries for governor Magnus, with different descriptions of what Black Marketeer does in each version. The documents contain a complete and direct answer to the query.",2,"The first 'governor Magnus' entry in the documents does list 'Black Marketeer' with the description 'Strategic resource costs for units are discounted 80%', which supports the response. However, the second 'governor Magnus' entry describes 'Black Marketeer' differently as '+2 Production for Workshop, +4 Production for Factory, and +7 Production and +4 Power provided by the city's Coal, Oil, or Nuclear Power Plant' - a completely different ability. The response is supported by one version of the documents but contradicted by another, making it only partially/mostly supported rather than fully supported.",3,"The given response correctly identifies 'Magnus' as the answer, which matches the ideal answer exactly. The additional context about Black Marketeer promotion is supplementary information that doesn't contradict the ideal answer."
What is the boost for the Wheel technology?,Mine a resource,3,The document explicitly states the boost for the Wheel technology: 'Mine a resource.' This directly and completely answers the query about what the boost for the Wheel technology is.,3,"The response states that the boost for the Wheel technology is to 'mine a resource,' which is directly supported by the document entry: 'tech_tree Wheel: To Boost: Mine a resource. Requires: Mining.' The response is fully grounded in the provided documents.",3,The given response conveys the same information as the ideal answer - that the boost requires mining a resource. The additional context about 'Wheel technology' doesn't detract from the accuracy of the core answer.
Name the Mayan leaders.,Te'K'inich II and Lady Six Sky,3,"The documents explicitly list two Mayan leaders: 'Maya Te' K'inich II' and 'Maya Lady Six Sky', both tagged with 'Civilizations: Maya'. This is sufficient to fully answer the query about naming the Mayan leaders.",3,The response lists exactly two Mayan leaders: Te' K'inich II and Lady Six Sky. Both of these leaders are explicitly documented in the provided documents under 'leaders Maya Te' K'inich II' and 'leaders Maya Lady Six Sky' respectively. The response is fully supported by the documents.,3,The given response correctly identifies both Mayan leaders - Te'K'inich II and Lady Six Sky - which exactly matches the ideal answer. The slight formatting difference (space in 'Te' K'inich II' vs 'Te'K'inich II') is negligible and does not affect the semantic meaning.
Name all leaders for China.,"Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Wu Zetian, Yongle",3,"The documents explicitly list all five leaders for China: Kublai Khan (China), Qin (Unifier), Qin (Mandate of Heaven), Yongle, and Wu Zetian. Each is clearly tagged with 'Civilizations: China', providing a complete and full answer to the query.",3,"The response correctly identifies all four leaders for China as listed in the documents: Kublai Khan, Qin Shi (with Unifier and Mandate of Heaven variants), Yongle, and Wu Zetian. All of these are explicitly documented in the provided information blocks under 'leaders China'. The response accurately notes that Qin Shi has two variants (Unifier and Mandate of Heaven), which matches the documents. The count of four leaders (with Qin having two variants) is fully supported by the source documents.",3,"The given response lists all five leaders correctly: Kublai Khan, Qin (both variants - Unifier and Mandate of Heaven), Yongle, and Wu Zetian. The naming convention differs slightly (calling Qin 'Qin Shi' instead of just 'Qin'), but all five leaders are identified and the two Qin variants are explicitly mentioned. The response semantically matches the ideal answer."
Which wonder is unlocked by Mathematics in 7.4?,Petra,3,"The documents contain a specific entry for Petra, a Classical Era wonder, which states it is 'Unlocked by Mathematics Technology'. This directly answers the query about which wonder is unlocked by Mathematics in 7.4.",3,"The response is fully supported by the documents. The document explicitly states: 'world_wonder Classical Era Petra: +2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains). Must be built on Desert or Desert Floodplains without Hills. Production Cost = 200 Unlocked by Mathematics Technology'. The response correctly identifies Petra as the wonder unlocked by Mathematics Technology, correctly identifies it as a Classical Era wonder, correctly states the yields (+2 Food, +2 Gold, +1 Production on Desert tiles non-Floodplains), correctly states the placement requirement (Desert or Desert Floodplains without Hills), and correctly states the production cost of 200. The only minor note is that the document does not explicitly mention 'version 7.4', but this claim in the response is minor and does not contradict the documents.",3,"The given response correctly identifies Petra as the wonder unlocked by Mathematics Technology in version 7.4, which matches the ideal answer exactly. The additional details provided are supplementary information that doesn't contradict the ideal answer."
What tech does Printing require in 7.4?,Machinery,3,"The document explicitly states 'tech_tree Printing: To Boost: Build 2 Universities. Requires: Machinery', which directly and completely answers the question about what tech Printing requires in version 7.4.",3,"The response states that 'Printing requires Machinery.' The document explicitly states under tech_tree Printing: 'Requires: Machinery,' which directly supports the response. The response is fully grounded in the provided documents.",3,"The given response correctly identifies 'Machinery' as the answer, which matches the ideal answer exactly. The additional context about version 7.4 and Printing does not detract from the accuracy of the response."
Name the unique unit for Cree.,Okihtcitaw,3,"The documents contain explicit information about the Cree unique unit. The first document in the 'units' section describes the 'Okihtcitaw' as a 'Cree unique Ancient era unit that replaces the Scout.' Additionally, the leaders section for 'Cree Poundmaker' also mentions the Okihtcitaw as the Cree unique Ancient era unit. This is sufficient to provide a complete and full answer to the query.",3,"The response states that the Okihtcitaw is the unique unit for Cree, is an Ancient era unit that replaces the Scout, starts with a free promotion, receives +5 Combat Strength when fighting units with a higher base Combat Strength, has 3 Movement Points, 15 Melee Strength, and 2 Line of Sight. All of these details are directly and explicitly supported by the documents, which state: 'Cree unique Ancient era unit that replaces the Scout. Starts with a free promotion. +5 Combat Strength when fighting units with a higher base Combat Strength.' and lists '3 Movement Points 15 Melee Strength 2 Line of Sight' for the Okihtcitaw unit.",3,"The given response correctly identifies 'Okihtcitaw' as the unique unit for Cree, which matches the ideal answer exactly. The additional details provided are supplementary information that doesn't contradict the ideal answer."
