question,ideal_answer,context_score,context_reasoning,grounding_score,grounding_reasoning,answer_score,answer_reasoning
What are the stats for the Immortal?,"Production Cost: 50
 Maintenance Cost: 2 per turn
 Movement: 2 points
 Melee Strength: 36
 Ranged Strength: 25
 Range: 2
 Line of Sight: 2",3,"The first document in the provided information block contains the complete stats for the Immortal unit, including Production Cost (50), Maintenance Cost (2 Per Turn), Movement Points (2), Melee Strength (36), Range (2), Ranged Strength (23), Line of Sight (2), and a description of the unit. This is sufficient to provide a full and complete answer to the query about the Immortal's stats.",3,"The response is fully supported by the provided documents. The first information block contains all the stats for the Immortal unit: Production Cost 50, Maintenance Cost 2 Per Turn, 2 Movement Points, 36 Melee Strength, 2 Range, 23 Ranged Strength, 2 Line of Sight, and the special attributes describing it as a Persian unique melee unit replacing the Swordsman with a ranged attack and strong defense strength. The version 7.5 is also confirmed in the document's bbg_version field. All information in the response matches the document exactly.",2,"The given response matches most of the ideal answer's stats correctly: Production Cost (50), Maintenance Cost (2 per turn), Movement (2), Melee Strength (36), Range (2), and Line of Sight (2). However, the Ranged Strength differs: the ideal answer states 25, while the given response states 23. This single numerical discrepancy prevents a full match, but the response is otherwise very close to the ideal."
Which wonder gives a Great Prophet?,Stonehenge,3,"The documents clearly state that Stonehenge is the world wonder that 'Grants a free Great Prophet,' providing a complete and direct answer to the query.",3,"The response accurately describes Stonehenge based on the provided document. All key details match: it grants a free Great Prophet, provides +2 Faith, allows Great Prophets to found a Religion on Stonehenge instead of a Holy Site, must be adjacent to Stone and on flat land, has a production cost of 90, and is unlocked by the Astrology technology. The document fully supports all claims made in the response.",3,"The given response correctly identifies Stonehenge as the wonder that gives a Great Prophet, which matches the ideal answer exactly. The additional details provided are accurate and relevant context, but the core answer is semantically identical to the ideal response."
Which religious unit's primary responsibility is to heal other religious units?,Guru,3,"The document clearly describes the Guru unit, whose primary responsibility is to heal other religious units. The Guru 'May use a charge to heal itself and all adjacent friendly religious units' and 'May not initiate theological combat with units of other Religions (but can defend),' indicating its primary role is healing rather than combat. This directly and completely answers the query.",2,"The response correctly identifies the Guru as a religious unit with healing capabilities and mentions its ability to heal itself and adjacent friendly religious units. However, the response states the Guru has '2 Heal Charges' while the document clearly states it has '3 Heal Charges.' This factual error means the response is mostly but not fully supported by the documents. The general characterization of the Guru as a healing-focused religious unit is accurate and grounded in the documents.",3,"The given response correctly identifies 'Guru' as the religious unit whose primary responsibility is to heal other religious units, which matches the ideal answer exactly. The additional detail provided is consistent and accurate."
Which governor has Black Marketeer?,Magnus,3,"The documents contain a complete answer to the query. The document about Governor Magnus explicitly lists 'Black Marketeer' as one of his promotions, which discounts strategic resource costs for units by 80%. This directly and fully answers the question of which governor has Black Marketeer.",3,The documents explicitly state under the Magnus governor section that 'Black Marketeer: Strategic resource costs for units are discounted 80%.' This directly confirms both that Magnus has the Black Marketeer ability and that the ability provides an 80% discount on strategic resource costs for units. The response is fully supported by the provided documents.,3,"The given response correctly identifies Magnus as the answer, which matches the ideal answer exactly. The additional information about the Black Marketeer ability is supplementary context that doesn't contradict the ideal answer."
What is the boost for the Wheel technology?,Mine a resource,3,The first document explicitly states the boost for the Wheel technology: 'Mine a resource.' This directly and completely answers the query.,3,"The response is fully supported by the provided documents. The document explicitly states 'tech_tree Wheel: To Boost: Mine a resource. Requires: Mining' for bbg_version 7.5, which directly matches the information presented in the response about the Wheel technology boost requirement (Mine a resource) and its prerequisite (Mining).",3,"The given response correctly identifies 'Mine a resource' as the boost condition for Wheel technology, which matches the ideal answer exactly. The additional context provided (prerequisites, explanation) does not contradict the ideal answer."
Name the Mayan leaders.,Te'K'inich II and Lady Six Sky,3,"The documents explicitly name two Mayan leaders: 'Te' K'inich II' and 'Lady Six Sky', both listed under the Maya civilization in the leaders section. The documents contain enough information to fully answer the query about Mayan leaders.",3,"The response states that the Mayan leaders in version 7.5 are Te' K'inich II and Lady Six Sky. Both of these leaders are explicitly documented in the provided information blocks, both tagged with bbg_version '7.5' and civilization 'Maya', section 'leaders'. The response is fully supported by the documents.",3,The given response correctly identifies both Mayan leaders - Te'K'inich II and Lady Six Sky - which matches the ideal answer exactly. The additional context about 'version 7.5' and 'search results' is irrelevant but doesn't detract from the accuracy of the answer.
Name all leaders for China.,"Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Wu Zetian, Yongle",3,"The documents collectively provide full information about all leaders for China. The documents explicitly name and describe five leaders: Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Yongle, and Wu Zetian. Each document is tagged with 'civilization: China' and 'section: leaders', making it straightforward to list all Chinese leaders from these sources.",2,"The response is mostly supported by the documents, but contains some inaccuracies. For Kublai Khan, the documents mention +1 Science and +1 Culture per international trade route and bonuses based on tiles traveled, plus a random Eureka/Inspiration from Trading Posts - the response simplifies this but is generally correct. For Qin Shi (Mandate of Heaven), the documents mention builder charges for Wonders and bonuses when completing them, which matches. For Qin Shi (Unifier), the documents mention melee unit conversion of barbarians, +50% Production towards Encampment buildings, and +1 Great Writer point from Encampment districts - the response mentions 'military units and recruitment' and 'Encampment buildings and Great Writer production' which is a reasonable summary. For Yongle, the documents mention population-based bonuses and city projects converting Production - the response correctly captures this. For Wu Zetian, the documents mention free spy after Civil Service, faith-purchasable spies, and bonuses from successful spy missions - the response correctly captures this. However, the response incorrectly states Kublai Khan has 'extra Economic policy slot' as a bonus focused on trade routes and Eurekas - the documents do mention one extra Economic policy slot for Kublai Khan. The response also doesn't mention that the Chu-Ko-Nu replaces the Crossbowman specifically, just calls it a 'unique unit'. Some nuances are lost in summarization but the core information is mostly accurate.",3,"The given response lists all five correct leaders for China: Kublai Khan, Qin Shi (Mandate of Heaven), Qin Shi (Unifier), Wu Zetian, and Yongle. These match exactly the ideal answer's five leaders. The given response includes additional detail about each leader's abilities and shared civilization bonuses, but the core content (the list of leaders) is accurate and complete."
Which wonder is unlocked by Mathematics in 7.4?,Petra,3,"The documents contain explicit information about the wonder unlocked by Mathematics. The document states: 'world_wonder Classical Era Petra: +2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains). Must be built on Desert or Desert Floodplains without Hills. Production Cost = 200 Unlocked by Mathematics Technology' and this applies to bbg_version 7.4 among others. This fully answers the query.",3,"The response accurately states that Petra is a Classical Era wonder unlocked by Mathematics, provides +2 Food, +2 Gold, and +1 Production on all Desert tiles (non-Floodplains), and must be built on a Desert or Desert Floodplains tile without Hills. All of these details are directly supported by the document: 'world_wonder Classical Era Petra: +2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains). Must be built on Desert or Desert Floodplains without Hills. Production Cost = 200 Unlocked by Mathematics Technology'. The only minor issue is that the response specifies 'version 7.4' when the document shows Petra exists across multiple versions including 7.4, but this does not constitute a factual error since 7.4 is one of the listed versions.",3,"The given response correctly identifies Petra as the world wonder unlocked by Mathematics, which matches the ideal answer exactly. The additional details provided are accurate and complementary but the core answer is correct."
What tech does Printing require in 7.4?,Machinery,3,"The first document directly states that Printing requires 'Machinery' in the tech tree, and this entry is valid for BBG version 7.4. This provides a complete and full answer to the query.",3,"The document explicitly states 'tech_tree Printing: To Boost: Build 2 Universities. Requires: Machinery' and this entry applies to bbg_version 7.4, fully supporting the response that Printing requires Machinery in version 7.4.",3,"The given response confirms that Printing requires Machinery, which matches the ideal answer of 'Machinery'. The additional context about version 7.4 and Printing does not contradict the ideal answer."
Name the unique unit for Cree.,Okihtcitaw,3,The documents contain explicit information about the Cree unique unit. The first document clearly states 'Cree unique Ancient era unit that replaces the Scout' and names it 'Okihtcitaw'. This is sufficient to provide a complete answer to the query.,3,"The response is fully supported by the provided documents. The document clearly states the Okihtcitaw is the Cree unique Ancient era unit that replaces the Scout, with a Production Cost of 20, Maintenance Cost of 0 Per Turn, 3 Movement Points, 15 Melee Strength, 2 Line of Sight, starts with a free promotion, and has +5 Combat Strength when fighting units with a higher base Combat Strength. All details in the response match the document exactly, and the version 7.5 is confirmed in the bbg_version list.",3,"The given response correctly identifies 'Okihtcitaw' as the unique unit for the Cree, which matches the ideal answer exactly. The additional details provided are supplementary information that does not contradict the ideal answer."
