question,ideal_answer,context_score,context_reasoning,grounding_score,grounding_reasoning,answer_score,answer_reasoning
What are the stats for the Immortal?,"Production Cost: 50
 Maintenance Cost: 2 per turn
 Movement: 2 points
 Melee Strength: 36
 Ranged Strength: 25
 Range: 2
 Line of Sight: 2",3,"The first document in the provided information block contains complete stats for the Immortal unit, including Production Cost (50), Maintenance Cost (2 Per Turn), Movement Points (2), Melee Strength (36), Range (2), Ranged Strength (23), Line of Sight (2), and a description of its abilities. This is sufficient to provide a full and complete answer to the query about the Immortal's stats.",3,"The response accurately reflects all the stats and description provided in the document for the Immortal unit in version 7.5: Production Cost 50, Maintenance Cost 2 Per Turn, Movement Points 2, Melee Strength 36, Ranged Strength 23, Range 2, Line of Sight 2, and the description about it being a Persian unique melee unit replacing the Swordsman with a ranged attack and strong defense strength. All information in the response is directly supported by the provided document.",2,"The given response matches most of the stats correctly: Production Cost (50), Maintenance Cost (2 per turn), Movement (2), Melee Strength (36), Range (2), and Line of Sight (2) are all correct. However, the Ranged Strength is listed as 23 in the given response, while the ideal answer states 25. This single numerical discrepancy prevents a perfect score, but the response is otherwise very close to the ideal."
Which wonder gives a Great Prophet?,Stonehenge,3,"The first document clearly states that Stonehenge grants a free Great Prophet, which directly and completely answers the query.",3,"The response is fully supported by the provided documents. The first document clearly states all the details about Stonehenge that are mentioned in the response: +2 Faith, grants a free Great Prophet, Great Prophets may found a Religion on Stonehenge instead of a Holy Site, must be adjacent to Stone and on flat land, Production Cost = 90, and unlocked by Astrology Technology. The claim that it is the only wonder in the BBG mod that directly grants a Great Prophet is also supported by the documents, as no other wonder in the provided documents grants a Great Prophet.",3,"The given response correctly identifies Stonehenge as the world wonder that gives a Great Prophet, which matches the ideal answer exactly. The additional details provided are supplementary but don't contradict the ideal answer."
Which religious unit's primary responsibility is to heal other religious units?,Guru,3,The document about the Guru unit explicitly states its primary responsibility: 'May use a charge to heal itself and all adjacent friendly religious units.' This directly answers the question. The Guru is the religious unit whose primary responsibility is to heal other religious units.,2,"The response is mostly supported by the documents. The Guru's healing ability is confirmed by the document which states it 'May use a charge to heal itself and all adjacent friendly religious units.' However, the response states the Guru has '2 Heal Charges' while the document clearly states it has '3 Heal Charges.' This is a factual error in the response not supported by the documents. The information about the Apostle acting as a medic providing extra healing to units within 1 tile is supported by the Religious units document. Overall, the core claim about the Guru being the primary healer for religious units is supported, but the specific number of heal charges is incorrect.",3,"The given response correctly identifies the Guru as the religious unit with primary responsibility to heal other religious units, which matches the ideal answer. The additional context provided about heal charges and comparison with the Apostle is supplementary information that doesn't contradict the ideal answer."
Which governor has Black Marketeer?,Magnus,3,"The documents contain a section about Governor Magnus which explicitly lists 'Black Marketeer' as one of his promotions, with the description 'Strategic resource costs for units are discounted 80%.' This provides a complete and direct answer to the query about which governor has Black Marketeer.",3,"The response states that Magnus has the Black Marketeer promotion which grants an 80% discount on strategic resource costs for units. This is fully supported by the provided document about Magnus governor, which explicitly states 'Black Marketeer Strategic resource costs for units are discounted 80%.'",3,"The given response correctly identifies 'Magnus' as the answer, which matches the ideal answer exactly. The additional details about the Black Marketeer promotion are supplementary information that doesn't contradict the ideal answer."
What is the boost for the Wheel technology?,Mine a resource,3,"The documents contain a direct entry for the Wheel technology in the tech tree, which states 'To Boost: Mine a resource.' This provides a complete and full answer to the query about the boost for the Wheel technology.",3,"The response states that the boost for the Wheel technology in version 7.5 is 'Mine a resource,' which is directly supported by the document that states 'tech_tree Wheel: To Boost: Mine a resource. Requires: Mining' with bbg_version including '7.5'. The response is fully grounded in the provided documents.",3,"The given response correctly identifies 'Mine a resource' as the boost for the Wheel technology, which matches the ideal answer exactly. The additional context provided does not contradict the ideal answer."
Name the Mayan leaders.,Te'K'inich II and Lady Six Sky,3,"The documents explicitly name two Mayan leaders: 'Te' K'inich II' and 'Lady Six Sky', both listed under the Maya civilization in the leaders section. This provides a complete answer to the query about Mayan leaders.",2,"The response correctly identifies Te' K'inich II and Lady Six Sky as the two Mayan leaders in Version 7.5, and correctly notes they share the same Maya civilization bonuses, the 'Hydrophobic' mechanic, the unique district (though the document calls it the 'Observatory,' not 'Piktun'), and the Atlatlist unique unit. The documents do support the existence of both leaders, the shared civ bonuses, the Hydrophobic mechanic, the Observatory district, and the unique unit. However, the response incorrectly names the unique district 'Piktun' — the documents refer to it as the 'Observatory' — which is an unsupported claim. This inaccuracy prevents a full score of 3.",3,"The given response correctly identifies both Mayan leaders as Te'K'inich II and Lady Six Sky, which matches the ideal answer exactly. The additional details about their shared bonuses and unique features are supplementary but accurate context."
Name all leaders for China.,"Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Wu Zetian, Yongle",3,"The documents collectively contain complete information to answer the query. All five leaders for China are explicitly named across the documents: Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Yongle, and Wu Zetian. Each document also cross-references all five leaders in the Great Wall yield descriptions, confirming the complete list.",2,"The response is mostly supported by the documents. The 5 leaders are correctly identified. The civilization abilities (Great Wall and Chu-Ko-Nu) are confirmed by the documents. However, there are some inaccuracies and omissions: (1) Kublai Khan's description mentions 'bonuses when establishing Trading Posts' which is correct, but the response says he gains 'bonuses for building Canals' - this is actually Qin Shi (Mandate of Heaven)'s ability. Wait, re-reading - the response says Kublai Khan focuses on trade routes, which is correct. (2) Qin Shi (Mandate of Heaven) - the response says 'bonuses for building Canals' which is supported by the document (Canals unlocked with Masonry). (3) Qin Shi (Unifier) - described as emphasizing 'Great Writers' and 'melee units to convert Barbarians' - supported. But the response omits the +50% Production towards Encampment buildings detail. (4) Yongle - mostly correct but the response says 'converts Production into Food, Faith, or Gold' while the document specifies 70% conversion for Food/Faith and 150% for Gold. (5) Wu Zetian - the response mentions 'free spies' and 'purchase spies with Faith' which is correct, but omits that land units within 3 tiles of Recon units get +3 Combat Strength. The Chu-Ko-Nu is described as a 'Crossbowman replacement' which is correct. The response is mostly accurate but contains some simplifications and minor inaccuracies.",3,"The given response correctly identifies all 5 leaders of China in BBG version 7.5: Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Wu Zetian, and Yongle. The names match the ideal answer exactly (with minor variation in 'Qin Shi' vs 'Qin' which refers to the same leader). The response provides additional detail about each leader's abilities, which is extra information beyond what the ideal answer requires, but the core content - the list of 5 leaders - is accurate and complete."
Which wonder is unlocked by Mathematics in 7.4?,Petra,3,The documents contain a direct answer to the query. The document about world wonders explicitly states that Petra is 'Unlocked by Mathematics Technology' and this information is present for bbg_version 7.4 among others.,3,"The response is fully supported by the provided documents. The document explicitly states: 'world_wonder Classical Era Petra: +2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains). Must be built on Desert or Desert Floodplains without Hills. Production Cost = 200 Unlocked by Mathematics Technology' and lists bbg_version including '7.4'. All details in the response (era, bonuses, placement restrictions, production cost, and unlocking technology) match the document exactly.",3,"The given response correctly identifies 'Petra' as the wonder unlocked by Mathematics, which matches the ideal answer exactly. The additional details provided are consistent with the correct answer and don't contradict it."
What tech does Printing require in 7.4?,Machinery,3,"The first document directly states that Printing requires 'Machinery' in the tech tree, and this information is tagged as applicable to version 7.4. This fully answers the query.",3,"The document explicitly states 'tech_tree Printing: To Boost: Build 2 Universities. Requires: Machinery' and this entry is listed under bbg_version ['7.5', '7.4', ...], which includes version 7.4. The response correctly states that in version 7.4, Printing requires Machinery, which is fully supported by the provided documents.",3,"The given response correctly identifies 'Machinery' as the answer to what Printing requires, which semantically matches the ideal answer. The additional context about 'version 7.4' does not contradict the ideal answer."
Name the unique unit for Cree.,Okihtcitaw,3,"The first document explicitly describes the Cree civilization and mentions 'Cree unique Ancient era unit that replaces the Scout,' which is the Okihtcitaw (implied by context as the unique unit). The document provides enough information to identify that the Cree have a unique Ancient era unit that replaces the Scout, fully answering the query about the unique unit for Cree.",3,"The response states that the Cree's unique unit is the Tracker, an Ancient era unit that replaces the Scout, starts with a free promotion, and gains +5 Combat Strength when fighting units with a higher base Combat Strength. All of these details are directly supported by the first information block, which describes the 'Cree unique Ancient era unit that replaces the Scout. Starts with a free promotion. +5 Combat Strength when fighting units with a higher base Combat Strength.' The response is fully grounded in the provided documents.",1,"The ideal answer is 'Okihtcitaw', which is the unique unit for the Cree civilization in Civilization VI. The given response states the unique unit is called the 'Tracker', which is incorrect. While the given response does describe some features of a unique unit, the name provided does not match the ideal answer at all."
