question,ideal_answer,context_score,context_reasoning,grounding_score,grounding_reasoning,answer_score,answer_reasoning
What are the stats for the Immortal?,"Production Cost: 50
 Maintenance Cost: 2 per turn
 Movement: 2 points
 Melee Strength: 36
 Ranged Strength: 25
 Range: 2
 Line of Sight: 2",3,"The first information block directly provides comprehensive stats for the Immortal unit, including Production Cost (50), Maintenance Cost (2 Per Turn), Movement Points (2), Melee Strength (36), Ranged Strength (23), Range (2), Line of Sight, and descriptive information about it being a Persian unique melee unit with ranged attack capabilities and strong defense. This fully answers the query about the Immortal's stats.",3,"The response's stats for the Immortal are fully supported by the documents. All values match exactly: Production Cost 50, Maintenance Cost 2, Movement Points 2, Melee Strength 36, Ranged Strength 23, Range 2, and Line of Sight 2. The description that it is a Persian unique melee unit replacing the Swordsman, with ranged attack capability and strong defense strength, is also directly supported. The version (7.5) is confirmed in the documents' metadata. No unsupported entities, relations, or details are asserted.",2,"The given response provides most of the correct stats, but contains one significant discrepancy: the Ranged Strength is listed as 23 in the response, while the ideal answer specifies 25. All other stats match perfectly (Production Cost: 50, Maintenance Cost: 2 per turn, Movement: 2 points, Melee Strength: 36, Range: 2, Line of Sight: 2). The response also includes helpful formatting and descriptive context about the unit being a Persian unique unit, which adds value. However, the incorrect Ranged Strength value prevents this from being a perfect match (score 3). The error is material enough to warrant a score of 2 rather than 3, as it involves a specific numerical stat that differs from the ideal answer."
Which wonder gives a Great Prophet?,Stonehenge,3,"The documents directly and comprehensively answer the query 'Which wonder gives a Great Prophet?' The first document explicitly states that Stonehenge is a world wonder that 'Grants a free Great Prophet.' This provides a complete and definitive answer to the question. While other documents contain related information about Great Prophets (such as buildings that generate Great Prophet points, policies, and religion effects), the primary answer is clearly and directly provided in the opening document.",3,"The response is fully supported by the documents. The question asks which wonder gives a Great Prophet, and the response identifies Stonehenge. The document explicitly states: 'world_wonder Ancient Era Stonehenge: +2 Faith Grants a free Great Prophet. Great Prophets may found a Religion on Stonehenge instead of a Holy Site. Must be adjacent to Stone and on flat land. Production Cost = 90 Unlocked by Astrology Technology.' All key details provided in the response—the era (Ancient Era), the effect (+2 Faith and grants a free Great Prophet), the placement requirements (adjacent to Stone, flat land), the production cost (90), and the unlock technology (Astrology)—are directly corroborated by the document. No entities, relations, or details are asserted that are absent from the documents.",3,"The given response correctly identifies Stonehenge as the answer to the ideal response. Beyond just naming it, the response provides accurate and detailed information about Stonehenge in what appears to be a Civilization game context, including its era, effects, placement requirements, production cost, and unlocking technology. The core answer matches the ideal answer exactly, and the additional context provided is relevant and accurate. The response is well-organized and informative, going beyond the minimum requirement while maintaining semantic accuracy."
Which religious unit's primary responsibility is to heal other religious units?,Guru,3,"The documents directly answer the question. The Guru unit is clearly identified as the religious unit whose primary responsibility is to heal other religious units. The document explicitly states that the Guru 'May use a charge to heal itself and all adjacent friendly religious units,' with 3 Heal Charges available. This is the defining characteristic that distinguishes the Guru's role among the religious units listed (Missionary, Apostle, and Guru). While the Apostle document mentions it 'operates as a Medic, providing extra healing to units within 1 tile,' the Guru is the religious unit specifically designed with healing as a primary function, evidenced by its dedicated heal charges mechanic.",3,"The response is fully supported by the documents. The Guru is explicitly identified as a religious unit in the documents and its key characteristics are accurately stated: Cost (120 Production), Movement (4), Religious Strength (90), Heal Charges (3), and its primary ability to 'heal itself and all adjacent friendly religious units' using a charge. The limitation that it 'may not initiate theological combat with units of other Religions (but can defend)' is also directly quoted from the documents. The version (7.5) is confirmed as applicable in the bbg_version field. All specific numbers, abilities, and restrictions mentioned in the response match the provided documentation exactly. The response correctly identifies the Guru as the religious unit whose primary responsibility is healing other religious units, which is clearly stated in the documents.",3,"The given response provides a comprehensive answer about the Guru unit. The ideal answer is simply ""Guru,"" which appears to be the correct identifier/name of the unit in question. The given response correctly identifies the unit as ""Guru"" and then elaborates with detailed, accurate information about its stats, abilities, and role. The response directly answers what a Guru is in the context of what appears to be a Civilization game (likely Civ 6). The core semantic meaning—that the answer is about the Guru unit—is fully captured and correctly identified. While the ideal answer is minimal, the given response semantically aligns with it by providing the correct unit name and supporting details that confirm the answer."
Which governor has Black Marketeer?,Magnus,3,"The documents contain explicit information about which governor has the 'Black Marketeer' promotion. Multiple information blocks clearly show that Magnus is the governor with the Black Marketeer ability. The first relevant block states: 'governor Magnus: Groundbreaker +50% yields from plot harvests... Black Marketeer Strategic resource costs for units are discounted 80%...' This is further confirmed in another information block showing a different version of Magnus with 'Black Marketeer +2 Production for Workshop, +4 Production for Factory, and +7 Production and +4 Power provided by the city's Coal, Oil, or Nuclear Power Plant.' The documents provide a complete and direct answer to the query.",3,"The response identifies Magnus as the governor with the Black Marketeer promotion, which is explicitly confirmed in the documents. The documents contain two entries for Magnus with different game versions: (1) base_game version listing 'Black Marketeer Strategic resource costs for units are discounted 80%', and (2) versions 7.1-7.5 listing 'Black Marketeer +2 Production for Workshop, +4 Production for Factory, and +7 Production and +4 Power provided by the city's Coal, Oil, or Nuclear Power Plant.' The response correctly identifies both effects for their respective versions and accurately quotes the numerical values from the documents. All entities (Magnus, Black Marketeer) and relations (Black Marketeer belongs to Magnus) are explicitly stated in the documents. The description of Magnus as 'The Steward' is not contradicted by the documents, though not explicitly stated either. The version-specific effects are fully supported by the source material.",3,"The given response correctly identifies Magnus as the answer to the question about which Governor has the Black Marketeer promotion. While the response provides additional context and variant information about how the promotion functions across different game versions, the core answer is accurate and directly addresses what was asked. The supplementary details about the promotion's effects in different versions enhance the response without contradicting or detracting from the correct identification of Magnus. The answer is complete and semantically matches the ideal response."
What is the boost for the Wheel technology?,Mine a resource,3,The documents directly answer the query about the boost for the Wheel technology. The first information block explicitly states: 'tech_tree Wheel: To Boost: Mine a resource.' This provides a complete and clear answer to the question asked. No additional information is needed to fully address the query.,3,"The response correctly identifies the boost for the Wheel technology as ""Mine a resource"" and correctly states that Mining is a prerequisite technology. Both facts are explicitly stated in the first document provided: ""tech_tree Wheel: To Boost: Mine a resource. Requires: Mining"". The response also appropriately specifies version 7.5, which is confirmed in the document's bbg_version list. All named entities (Wheel, Mining) and relations (boost requirement, prerequisite) are grounded in the provided documents.",3,"The given response directly answers the question about what the boost for the Wheel technology is in version 7.5. The core answer 'Mine a resource' matches the ideal answer exactly. While the given response includes additional context (such as the prerequisite technology requirement), this supplementary information does not contradict or detract from the main answer—it only elaborates on it. The response is accurate and complete in addressing what was being asked."
Name the Mayan leaders.,Te'K'inich II and Lady Six Sky,2,"The documents contain information about two Mayan leaders: Te' K'inich II and Lady Six Sky. Both are identified in the provided information blocks with their gameplay abilities and characteristics. However, the documents appear to be from a video game (likely Civilization VI) and focus primarily on game mechanics rather than providing comprehensive historical information about Mayan leaders. The query asks to 'name the Mayan leaders,' which is partially answered by the two names found in the documents, but historical context or additional Mayan leaders are not provided. The documents are sufficient to provide a partial answer to the query by naming at least two Mayan leaders, but they lack comprehensive or historical depth about Mayan leadership.",3,"The response correctly identifies the two Mayan leaders from the documents: Lady Six Sky and Maya Te' K'inich II. All major claims are supported: (1) Lady Six Sky's ability about non-capital cities within 6 tiles gaining +5% yields and cities farther away receiving -10% is directly stated; (2) her units gain +3 Combat Strength within 6 tiles of capital is confirmed; (3) Maya Te' K'inich II's units beyond 6 tiles receive +4 combat strength and within 6 tiles receive -2 combat strength is stated; (4) units heal 5 HP and gain 2 experience upon completing a eureka is confirmed; (5) the Observatory district replacing Campus is documented; (6) the unique ancient-era ranged unit replacing the Archer is mentioned. The response accurately represents the documents for version 7.5, and all entities and relations asserted are grounded in the provided information blocks.",3,"The given response correctly identifies the two Maya leaders as Te'K'inich II and Lady Six Sky, which matches the ideal answer exactly. While the given response includes extensive additional details about their unique abilities, districts, and units that are not mentioned in the ideal answer, this does not detract from the core requirement. The essential information—the names of the two leaders—is accurate and complete. The extra context provided, though not requested, does not contradict or undermine the answer. Since the task appears to be identifying the Maya leaders and the response successfully provides both correct names, the response semantically matches the ideal answer's core content."
Name all leaders for China.,"Kublai Khan, Qin (Mandate of Heaven), Qin (Unifier), Wu Zetian, Yongle",3,"The documents collectively contain a complete list of all leaders for China. By examining the information blocks, the following leaders are clearly identified: Kublai Khan, Qin (with two variants: 'Unifier' and 'Mandate of Heaven'), Wu Zetian, and Yongle. These leaders are mentioned multiple times across different game versions (base_game, 7.1-7.5), confirming they are the complete set of Chinese leaders in this game. The documents provide sufficient information to fully answer the query of naming all leaders for China.",1,"The response asserts five leaders for China, but the documents only explicitly name four distinct leaders: Qin Shi Huang (appearing in two variants: 'Mandate of Heaven' and 'Unifier'), Wu Zetian, Kublai Khan (China), and Yongle. The documents refer to these leaders as 'Qin (Mandate of Heaven)', 'Qin (Unifier)', 'Wu Zetian', 'Kublai Khan (China)', and 'Yongle'—not 'Qin Shi Huang' as two separate entries. The response invents the naming convention 'Qin Shi Huang (Mandate of Heaven)' and 'Qin Shi Huang (Unifier)' which does not appear in the documents. While 'Qin Shi' is mentioned in the Great Wall bonus text, the full name 'Qin Shi Huang' never appears in the provided documents. Additionally, several ability descriptions in the response do not match the documents—for example, the claim that Wu Zetian's spy missions 'steal Science, Culture, and Faith' is inaccurate; the documents state she 'gain[s] 100% of the Science, Culture, and Faith that the targeted city earned that turn,' which is different. The response also contains inaccuracies regarding Yongle's abilities and other mechanical details that diverge from the documented text.",2,"The given response lists 5 leaders for China, while the ideal answer lists 5 specific leaders. Comparing them: Kublai Khan ✓, Qin (Mandate of Heaven) ✓, Qin (Unifier) ✓, Wu Zetian ✓, and Yongle ✓. All five leaders match perfectly between the two responses. However, the given response provides detailed mechanic descriptions for each leader, while the ideal answer only lists their names. The given response appears to be a more detailed version of the ideal answer rather than an alternative answer. Since the ideal answer is a simple list and the given response contains the same leaders but with extensive additional information, it semantically approximates the ideal answer—it covers the same core content (the five leaders) but goes beyond what was asked. The accuracy of the leader identification is perfect, making this a semantic match with supplementary details rather than a deviation."
Which wonder is unlocked by Mathematics in 7.4?,Petra,3,The documents contain clear information about which wonder is unlocked by Mathematics in version 7.4. The world_wonder information block explicitly states that Petra is 'Unlocked by Mathematics Technology' and includes '7.4' in its bbg_version list. This directly answers the query with a complete and definitive answer.,3,"The response correctly identifies Petra as the wonder unlocked by Mathematics in version 7.4. The document explicitly states: 'world_wonder Classical Era Petra: +2 Food, +2 Gold, and +1 Production on all Desert tiles for this city (non-Floodplains). Must be built on Desert or Desert Floodplains without Hills. Production Cost = 200 Unlocked by Mathematics Technology' and is listed as available in bbg_version 7.4. All specific details provided in the response—the era (Classical Era), production cost (200), effects (+2 Food, +2 Gold, +1 Production on Desert tiles non-Floodplains), placement requirement (Desert or Desert Floodplains without Hills), and the unlocking technology (Mathematics)—are directly supported by the documents. The response is fully grounded in the provided sources.",3,"The given response correctly identifies 'Petra' as the answer to the question about which wonder is unlocked by Mathematics in version 7.4. While the ideal answer is simply 'Petra', the given response provides the correct answer along with comprehensive supporting details (era, production cost, effects, placement requirements, and technology unlock). The core semantic content matches perfectly—both responses confirm that Petra is the wonder unlocked by Mathematics. The additional information in the given response enhances rather than contradicts the ideal answer, making it a complete and accurate response."
What tech does Printing require in 7.4?,Machinery,3,"The provided documents directly answer the query. The first information block explicitly states that in the tech tree for Printing, the requirement is 'Machinery'. This document also confirms it applies to version 7.4 (listed in bbg_version). Therefore, the documents contain complete information to fully answer what tech Printing requires in 7.4.",3,"The response asserts that in version 7.4, Printing requires Machinery as its prerequisite technology and has a boost condition of building 2 Universities. The first document block explicitly states: 'tech_tree Printing: To Boost: Build 2 Universities. Requires: Machinery' and lists '7.4' among the bbg_versions where this applies. Both the requirement (Machinery) and the boost condition (Build 2 Universities) are directly supported by the documents. The version specification is also confirmed as valid. All entity names (Printing, Machinery, Universities) appear in the documents, and the relation (Printing requires Machinery) is explicitly stated.",3,"The given response accurately identifies Machinery as the prerequisite technology for Printing in version 7.4, which directly answers the ideal answer's requirement. While the given response provides additional contextual information (the boost condition for building 2 Universities), this supplementary detail does not detract from the core answer and actually enhances it. The response semantically means the same as the ideal answer—it confirms that Machinery is the prerequisite—and is therefore accurate and complete."
Name the unique unit for Cree.,Okihtcitaw,3,"The documents provide complete information to answer the query about Cree's unique unit. The first information block explicitly states that the Cree have a 'Cree unique Ancient era unit that replaces the Scout. Starts with a free promotion. +5 Combat Strength when fighting units with a higher base Combat Strength.' The final information block provides the full unit details, naming it as 'Okihtcitaw' with all its stats and abilities. The unit name 'Okihtcitaw' is clearly identified as the unique unit for Cree civilization, making this a complete answer to the query.",3,"The response correctly identifies the Okihtcitaw as the unique unit for Cree and provides accurate details that are fully supported by the documents. The entity (Cree civilization and Okihtcitaw unit) is explicitly named in the documents. All specific facts match the provided information: Era (Ancient), Replaces (Scout), Production Cost (20), Maintenance Cost (0 per turn), Movement Points (3), Melee Strength (15), Line of Sight (2), and both special abilities (starts with free promotion, +5 Combat Strength when fighting units with higher base Combat Strength) are directly stated in the documents. The response version (7.5) is also confirmed in the document metadata.",3,"The given response correctly identifies 'Okihtcitaw' as the answer, which matches the ideal answer exactly. The response goes beyond the simple name by providing comprehensive details about the unit including its era, what it replaces, production/maintenance costs, movement points, combat statistics, and special abilities. While the ideal answer only provides the unit name, the given response's additional information is accurate and relevant context that demonstrates correct knowledge. The core answer is semantically identical to the ideal answer, and the supplementary details enhance rather than contradict it."
